number,created_at,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,rule_id,rule_severity,security_severity_level,rule_tags,rule_description,rule_name,tool_name,tool_version,most_recent_instance_ref,most_recent_instance_state,most_recent_instance_sha,instances_url,repo_name,repo_owner,repo_owner_type,repo_owner_isadmin,repo_url,repo_isfork,repo_isprivate
80,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/80,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/80/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
79,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/79,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/79/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
78,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/78,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/78/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
77,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/77,open,,,,,js/server-crash,warning,high,"['external/cwe/cwe-248', 'external/cwe/cwe-730', 'security']",Server crash,js/server-crash,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/77/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
76,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/76,open,,,,,js/server-crash,warning,high,"['external/cwe/cwe-248', 'external/cwe/cwe-730', 'security']",Server crash,js/server-crash,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/76/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
75,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/75,open,,,,,js/missing-token-validation,error,high,"['external/cwe/cwe-352', 'security']",Missing CSRF middleware,js/missing-token-validation,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/75/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
74,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/74,open,,,,,js/sensitive-get-query,warning,medium,"['external/cwe/cwe-598', 'security']",Sensitive data read from GET request,js/sensitive-get-query,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/74/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
73,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/73,open,,,,,js/sensitive-get-query,warning,medium,"['external/cwe/cwe-598', 'security']",Sensitive data read from GET request,js/sensitive-get-query,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/73/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
72,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/72,open,,,,,js/sensitive-get-query,warning,medium,"['external/cwe/cwe-598', 'security']",Sensitive data read from GET request,js/sensitive-get-query,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/72/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
71,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/71,open,,,,,js/insecure-randomness,warning,high,"['external/cwe/cwe-338', 'security']",Insecure randomness,js/insecure-randomness,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/71/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
70,2025-02-28T18:57:04Z,https://github.com/mgil-lab-org/juice-shop/security/code-scanning/70,open,,,,,js/request-forgery,error,critical,"['external/cwe/cwe-918', 'security']",Server-side request forgery,js/request-forgery,CodeQL,2.20.5,refs/heads/master,open,73816ce0d77edd274da059e080e6ce6f761ef689,https://api.github.com/repos/mgil-lab-org/juice-shop/code-scanning/alerts/70/instances,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
